IDS_PROPITEMETC_INC_000000	Bravery Set
IDS_PROPITEMETC_INC_000001	Vagrantus Set (F)
IDS_PROPITEMETC_INC_000002	Vagrantus Set (M)
IDS_PROPITEMETC_INC_000003	Explorer Set (F)
IDS_PROPITEMETC_INC_000004	Explorer Set (M)
IDS_PROPITEMETC_INC_000005	Stinger Set (F)
IDS_PROPITEMETC_INC_000006	Stinger Set (M)
IDS_PROPITEMETC_INC_000007	Curus Set (F)
IDS_PROPITEMETC_INC_000008	Curus Set (M)
IDS_PROPITEMETC_INC_000009	Niz Set (F)
IDS_PROPITEMETC_INC_000010	Niz Set (M)
IDS_PROPITEMETC_INC_000011	Comet Set (F)
IDS_PROPITEMETC_INC_000012	Comet Set (M)
IDS_PROPITEMETC_INC_000013	Miracle Set (F)
IDS_PROPITEMETC_INC_000014	Miracle Set (M)
IDS_PROPITEMETC_INC_000015	Talin Set (F)
IDS_PROPITEMETC_INC_000016	Talin Set (M)
IDS_PROPITEMETC_INC_000017	Sorain Set (F)
IDS_PROPITEMETC_INC_000018	Sorain Set (M)
IDS_PROPITEMETC_INC_000019	Panggril Set (F)
IDS_PROPITEMETC_INC_000020	Panggril Set (M)
IDS_PROPITEMETC_INC_000021	Cruiser Set (F)
IDS_PROPITEMETC_INC_000022	Cruiser Set (M)
IDS_PROPITEMETC_INC_000023	Wedge Set (F)
IDS_PROPITEMETC_INC_000024	Wedge Set (M)
IDS_PROPITEMETC_INC_000025	Teba Set (F)
IDS_PROPITEMETC_INC_000026	Teba Set (M)
IDS_PROPITEMETC_INC_000027	Rescorn Set (M)
IDS_PROPITEMETC_INC_000028	Rescorn Set (F)
IDS_PROPITEMETC_INC_000029	Restron Set (M)
IDS_PROPITEMETC_INC_000030	Restron Set (F)
IDS_PROPITEMETC_INC_000031	Shurand Set (M)
IDS_PROPITEMETC_INC_000032	Shurand Set (F)
IDS_PROPITEMETC_INC_000033	Anis Set (M)
IDS_PROPITEMETC_INC_000034	Anis Set (F)
IDS_PROPITEMETC_INC_000035	Warpon Set (M)
IDS_PROPITEMETC_INC_000036	Warpon Set (F)
IDS_PROPITEMETC_INC_000037	Weeshian Set (M)
IDS_PROPITEMETC_INC_000038	Weeshian Set (F)
IDS_PROPITEMETC_INC_000039	Extro Set (M)
IDS_PROPITEMETC_INC_000040	Extro Set (F)
IDS_PROPITEMETC_INC_000041	Einy Set (M)
IDS_PROPITEMETC_INC_000042	Einy Set (F)
IDS_PROPITEMETC_INC_000043	Dayst Set (M)
IDS_PROPITEMETC_INC_000044	Dayst Set (F)
IDS_PROPITEMETC_INC_000045	Haganes Set (M)
IDS_PROPITEMETC_INC_000046	Haganes Set (F)
IDS_PROPITEMETC_INC_000047	Katria Set (M)
IDS_PROPITEMETC_INC_000048	Katria Set (F)
IDS_PROPITEMETC_INC_000049	Restra Set (M)
IDS_PROPITEMETC_INC_000050	Restra Set (F)
IDS_PROPITEMETC_INC_000051	Neis Set (M)
IDS_PROPITEMETC_INC_000052	Neis Set (F)
IDS_PROPITEMETC_INC_000053	Okas Set (M)
IDS_PROPITEMETC_INC_000054	Okas Set (F)
IDS_PROPITEMETC_INC_000055	Asren Set (M)
IDS_PROPITEMETC_INC_000056	Asren Set (F)
IDS_PROPITEMETC_INC_000057	Tyrent Set (M)
IDS_PROPITEMETC_INC_000058	Tyrent Set (F)
IDS_PROPITEMETC_INC_000059	Paxt Set (M)
IDS_PROPITEMETC_INC_000060	Paxt Set (F)
IDS_PROPITEMETC_INC_000061	Shupon Set (M)
IDS_PROPITEMETC_INC_000062	Shupon Set (F)
IDS_PROPITEMETC_INC_000063	Neclus Set (M)
IDS_PROPITEMETC_INC_000064	Neclus Set (F)
IDS_PROPITEMETC_INC_000065	Alext Set (M)
IDS_PROPITEMETC_INC_000066	Alext Set (F)
IDS_PROPITEMETC_INC_000067	Aken Set (M)
IDS_PROPITEMETC_INC_000068	Aken Set (F)
IDS_PROPITEMETC_INC_000069	Rody Set (M)
IDS_PROPITEMETC_INC_000070	Rody Set (F)
IDS_PROPITEMETC_INC_000071	Roshel Set (M)
IDS_PROPITEMETC_INC_000072	Roshel Set (F)
IDS_PROPITEMETC_INC_000073	Geniun Set (M)
IDS_PROPITEMETC_INC_000074	Geniun Set (F)
IDS_PROPITEMETC_INC_000075	Mekaron Set (M)
IDS_PROPITEMETC_INC_000076	Mekaron Set (F)
IDS_PROPITEMETC_INC_000077	Myuran Set (M)
IDS_PROPITEMETC_INC_000078	Myuran Set (F)
IDS_PROPITEMETC_INC_000079	Elder Set (M)
IDS_PROPITEMETC_INC_000080	Elder Set (F)
IDS_PROPITEMETC_INC_000081	Shurian Set (M)
IDS_PROPITEMETC_INC_000082	Shurian Set (F)
IDS_PROPITEMETC_INC_000083	STR
IDS_PROPITEMETC_INC_000084	DEX
IDS_PROPITEMETC_INC_000085	INT
IDS_PROPITEMETC_INC_000086	STA
IDS_PROPITEMETC_INC_000087	STR und STA
IDS_PROPITEMETC_INC_000088	STR und DEX
IDS_PROPITEMETC_INC_000089	DEX und STA+
IDS_PROPITEMETC_INC_000090	INT und STA+
IDS_PROPITEMETC_INC_000091	STR+
IDS_PROPITEMETC_INC_000092	DEX+
IDS_PROPITEMETC_INC_000093	INT+
IDS_PROPITEMETC_INC_000094	STA+
IDS_PROPITEMETC_INC_000095	STR und STA+
IDS_PROPITEMETC_INC_000096	STR und STA+
IDS_PROPITEMETC_INC_000097	STR und DEX+
IDS_PROPITEMETC_INC_000098	STR und DEX+
IDS_PROPITEMETC_INC_000099	DEX und STA+
IDS_PROPITEMETC_INC_000100	DEX und STA+
IDS_PROPITEMETC_INC_000101	INT und STA+
IDS_PROPITEMETC_INC_000102	INT und STA+
IDS_PROPITEMETC_INC_000103	STR+
IDS_PROPITEMETC_INC_000104	DEX+
IDS_PROPITEMETC_INC_000105	INT+
IDS_PROPITEMETC_INC_000106	STA+
IDS_PROPITEMETC_INC_000107	STR und STA+
IDS_PROPITEMETC_INC_000108	STR und STA+
IDS_PROPITEMETC_INC_000109	STR und STA+
IDS_PROPITEMETC_INC_000110	STR und DEX+
IDS_PROPITEMETC_INC_000111	STR und DEX+
IDS_PROPITEMETC_INC_000112	STR und DEX+
IDS_PROPITEMETC_INC_000113	DEX und STA+
IDS_PROPITEMETC_INC_000114	DEX und STA+
IDS_PROPITEMETC_INC_000115	DEX und STA+
IDS_PROPITEMETC_INC_000116	INT und STA+
