1//		이름	기본생성	최대겹침	1차아이템종류	2차아이템종류	3차아이템종류	아이템직업소속	소비불가	사용가능	사용성별	가격	내구력	마모도	수리회수	잡는형식	속성	장착위치	장착위치	파츠파일	제거될위치	기본부위	아이템	희귀성	상점	로그	상용화	필요	필요	최소능력	최대능력	공격속성	속성	회피율	블럭율	추가스킬	추가스킬	공격스타일	무기종류	아이템1차공격순서	아이템2차공격순서	아이템3차공격순서	아이템4차공격순서	지속피해	최대장전개수	반동	장전시간	추가공격성공률	공격속도	타격시 반동	공격범위	적용확률	적용대상1	적용대상2	적용대상3	적용대상4	적용대상5	적용대상6	적용값1	적용값2	적용값3	적용값4	적용값5	적용값6	적용변화1	적용변화2	적용변화3	적용변화4	적용변화5	적용변화6	참조값 1	참조값 2	참조값 3	참조값 4	참조값 5	참조값 6	발동 마법	발동 레벨	마법 확률	필요MP	필요EP	학과	선행스킬	선행스킬1	선행스킬2	선행스킬2	기술	기술	기술	원소이펙트	사용 효과	효과 2	효과 3 	효과 4	효과 5	사용 모션	유지시간	지속시간	발동대상	사용시기	마법범위	마법속성	무기종류	보석옵션	변환될무기설정	변환될확률설정	레드칩	참조수치2	기술속성	전기저항	불저항	바람저항	물저항	땅저항	악행	숙련레벨	최대	서브디파인	현재경험치	연속기술	비행속도	비행선회각	비행선회각	비행제한	비행연료	가속연료	팩당연료	제한레벨1	반사광	공격음1(무기 타격음)	공격음2(무기 크리티컬)	아이콘파일	퀘스트 ID	텍스트 파일명	설명	최소사용	최대사용	아이템	사용제한	중첩사용	효과적용수치	사용대상	사용대상	귀속해제	귀속여부	귀속해제	타격시	발동 레벨	마법확률	대상	피격시	발동레벨	마법확률	대상	착용시	발동레벨	제련가능	속성제련	보석제련	피어싱	각성	아이템시간	아이템 등급	거래가능	아이템 분류1차	아이템 분류 2차	서버이동	물약저장	외형적용	외형추출
//	인덱스		개수																서브			무시	레벨		판매가능			아이템종류	아이템				공격력			최소	최대																																													필요레벨		레벨		 레벨	준비	준비시간	시전거리		(시전효과)	(발사체)	"(발동,타겟)"	(유지효과)	"(발동,시전자)"											변환무기2로도 쓰인다	액수설정										숙련레벨	위치		방식		(좌우)	(상하)	레벨	충전량	충전량	충전량									레벨	레벨	그룹	그룹	개수		최소제련	최대제련			 후 상태	발동마법				발동마법				발동마법			가능여부				 소비타입								
//	II_DEFAULT	IDS_PROPITEM_TXT_000000	1	1	IK1_SYSTEM	=	=	=	0	=	=	1	=	=	=	=	=	=	=	0	=	=	=	=	=	=	0	=	=	=	=	_NONE	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	=	0.07	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	=	1	=	=	=	""""""	0	""""""	IDS_PROPITEM_TXT_000001	1	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONESWORD	1	0	1	1
6	II_WEA_AXE_RODNEY	IDS_PROPITEM_TXT_000124	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_VAGRANT	1	=	=	1200	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	9	9	1	1	0	=	=	25	33	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	9	=	SND_PC_DMGSWDB	SND_PC_DMGSWDC	"""itm_WeaAxeCurin.dds"""	0	""""""	IDS_PROPITEM_TXT_000125	9	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_MORROW	IDS_PROPITEM_TXT_000128	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_VAGRANT	1	=	=	3300	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	13	13	1	1	0	=	=	31	39	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	13	=	SND_PC_DMGSWDB	SND_PC_DMGSWDC	"""itm_WeaAxeSteel.dds"""	0	""""""	IDS_PROPITEM_TXT_000129	13	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_CURNING	IDS_PROPITEM_TXT_000132	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	4700	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	15	15	1	1	0	=	=	38	46	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	15	=	SND_PC_DMGSWDB	SND_PC_DMGSWDC	"""itm_WeaAxeCrenil.dds"""	0	""""""	IDS_PROPITEM_TXT_000133	15	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_SHYADIN	IDS_PROPITEM_TXT_000136	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	6800	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	19	19	1	1	0	=	=	48	56	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	15	=	SND_PC_DMGSWDB	SND_PC_DMGSWDC	"""itm_WeaAxeSephir.dds"""	0	""""""	IDS_PROPITEM_TXT_000137	15	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_BRONZE	IDS_PROPITEM_TXT_000140	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	10100	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	23	23	1	1	0	=	=	52	60	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	22	=	SND_PC_DMGSWDB	SND_PC_DMGSWDC	"""itm_WeaAxeGorn.dds"""	0	""""""	IDS_PROPITEM_TXT_000141	22	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_GRANG	IDS_PROPITEM_TXT_000144	1	1	MODELTYPE_MESH	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	17100	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	27	27	1	1	0	=	=	64	72	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	27	=	SND_PC_DMGSWDB	SND_PC_DMGSWDC	"""itm_WeaAxeVain.dds"""	0	""""""	IDS_PROPITEM_TXT_000145	27	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_DRONE	IDS_PROPITEM_TXT_000148	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	24800	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	31	31	1	1	0	=	=	78	86	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	27	=	SND_PC_DMGSWDM	SND_PC_DMGSWDC	"""itm_WeaAxeToorin.dds"""	0	""""""	IDS_PROPITEM_TXT_000149	27	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
6	II_WEA_AXE_PROEM	IDS_PROPITEM_TXT_000152	1	1	IK1_WEAPON	IK2_WEAPON_DIRECT	IK3_AXE	JOB_MERCENARY	1	=	=	34700	8000000	100	180	HD_ONE	=	PARTS_RWEAPON	=	0	=	=	35	35	1	1	0	=	=	88	96	_NONE	0	0	0	0	0	=	WT_MELEE_AXE	AS_DIAGONAL	AS_VERTICAL	AS_HORIZONTAL	AS_THRUST	=	=	=	=	=	0.06	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	XI_HIT_SWORD01	=	=	=	=	=	=	=	=	=	WEAPON_GENERAL	=	=	=	=	=	=	0	0	0	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	34	=	SND_PC_DMGSWDM	SND_PC_DMGSWDC	"""itm_WeaAxeKarm.dds"""	0	""""""	IDS_PROPITEM_TXT_000153	34	300	0	0	1	0	0	0	1	0	2	=	=	=	=	=	=	=	=	=	=	1	1	1	1	1	0	ITEM_GRADE_NORMAL	1	TYPE1_WEAPON	TYPE2_WEAPON_ONEAXE	1	0	1	1
